srcip,sport,dstip,dsport,proto,state,duration,sbytes,dbytes,label
192.168.1.[  0   0   0 ... 214 214 214],39312,192.168.0.1,22,udp,REQ,0.13498032098380106,1126,1991,1
10.0.0.[  0   0   0 ... 214 214 214],24285,1.1.1.1,22,udp,INT,0.19817942283519124,158,470,1
192.168.1.[  0   0   0 ... 214 214 214],25379,1.1.1.1,22,udp,FIN,2.0876639331184963,913,133,0
192.168.1.[  0   0   0 ... 214 214 214],53057,192.168.0.1,80,udp,CON,0.27488881991389785,171,602,0
192.168.1.[  0   0   0 ... 214 214 214],20225,192.168.0.1,22,tcp,INT,0.44253405199789425,389,45,0
10.0.0.[  0   0   0 ... 214 214 214],1376,8.8.8.8,443,tcp,REQ,0.2503955916829573,56,439,0
192.168.1.[  0   0   0 ... 214 214 214],52340,1.1.1.1,80,tcp,INT,0.306381291898392,1063,2282,0
192.168.1.[  0   0   0 ... 214 214 214],45680,8.8.8.8,80,udp,REQ,0.1722101349495492,2566,1237,1
192.168.1.[  0   0   0 ... 214 214 214],26899,8.8.8.8,22,udp,INT,0.40424431293089663,235,461,0
10.0.0.[  0   0   0 ... 214 214 214],26633,192.168.0.1,22,udp,FIN,0.1921537215267505,949,2793,0
192.168.1.[  0   0   0 ... 214 214 214],22468,8.8.8.8,80,tcp,REQ,0.448266363875101,1190,103,1
192.168.1.[  0   0   0 ... 214 214 214],1593,192.168.0.1,53,icmp,INT,2.7951072323722035,167,1471,0
192.168.1.[  0   0   0 ... 214 214 214],15824,8.8.8.8,80,icmp,FIN,0.15067349615846884,2158,158,0
192.168.1.[  0   0   0 ... 214 214 214],26926,192.168.0.1,80,udp,CON,0.10266633632732093,2098,333,1
10.0.0.[  0   0   0 ... 214 214 214],35006,1.1.1.1,22,udp,REQ,0.166169774278186,530,428,1
192.168.1.[  0   0   0 ... 214 214 214],14066,192.168.0.1,22,udp,CON,1.1399272523265087,224,948,0
10.0.0.[  0   0   0 ... 214 214 214],35494,8.8.8.8,443,icmp,REQ,0.10594369445284894,460,292,0
10.0.0.[  0   0   0 ... 214 214 214],46141,1.1.1.1,443,tcp,FIN,0.042399062693907155,197,2753,1
10.0.0.[  0   0   0 ... 214 214 214],8401,192.168.0.1,53,icmp,FIN,8.424332805846776e-05,960,2704,1
192.168.1.[  0   0   0 ... 214 214 214],4155,192.168.0.1,22,icmp,FIN,0.5604580970312216,15,973,1
10.0.0.[  0   0   0 ... 214 214 214],25588,192.168.0.1,53,tcp,REQ,0.7288455339743751,988,1034,1
192.168.1.[  0   0   0 ... 214 214 214],9544,1.1.1.1,53,tcp,INT,0.8826660089103885,722,787,1
10.0.0.[  0   0   0 ... 214 214 214],57929,192.168.0.1,80,icmp,REQ,0.09500569404965892,1245,513,0
10.0.0.[  0   0   0 ... 214 214 214],32767,192.168.0.1,22,udp,FIN,0.003194323332675436,1735,193,0
10.0.0.[  0   0   0 ... 214 214 214],47903,192.168.0.1,80,icmp,INT,0.730218715252498,35,1308,1
10.0.0.[  0   0   0 ... 214 214 214],35262,192.168.0.1,22,icmp,CON,0.052029584907164694,396,513,0
10.0.0.[  0   0   0 ... 214 214 214],42495,192.168.0.1,22,icmp,REQ,0.3339106437349322,1375,372,0
10.0.0.[  0   0   0 ... 214 214 214],38438,8.8.8.8,443,tcp,INT,0.2716066974769578,14,1661,1
10.0.0.[  0   0   0 ... 214 214 214],14481,8.8.8.8,22,udp,INT,0.008894473331084366,369,1419,0
10.0.0.[  0   0   0 ... 214 214 214],57879,1.1.1.1,443,tcp,REQ,0.8982262115420194,315,1227,0
192.168.1.[  0   0   0 ... 214 214 214],39425,8.8.8.8,53,udp,CON,0.32222112082233906,534,435,0
192.168.1.[  0   0   0 ... 214 214 214],2703,192.168.0.1,22,icmp,REQ,1.3844898341430458,950,4374,0
10.0.0.[  0   0   0 ... 214 214 214],29134,192.168.0.1,443,udp,CON,0.017708825216812177,948,484,0
10.0.0.[  0   0   0 ... 214 214 214],48562,1.1.1.1,443,icmp,INT,0.02942539425543244,9,105,1
10.0.0.[  0   0   0 ... 214 214 214],31571,192.168.0.1,22,udp,INT,0.048947287317918586,1279,514,0
192.168.1.[  0   0   0 ... 214 214 214],48693,192.168.0.1,443,icmp,FIN,0.4675966130455046,1095,1161,1
10.0.0.[  0   0   0 ... 214 214 214],4791,8.8.8.8,53,tcp,FIN,0.1279688157959208,114,478,1
192.168.1.[  0   0   0 ... 214 214 214],36711,8.8.8.8,80,udp,REQ,0.26422017160507416,12,784,0
192.168.1.[  0   0   0 ... 214 214 214],6638,8.8.8.8,443,tcp,INT,0.1631915913532946,102,287,1
192.168.1.[  0   0   0 ... 214 214 214],33341,192.168.0.1,53,icmp,CON,0.25836359250908575,501,145,1
192.168.1.[  0   0   0 ... 214 214 214],13799,8.8.8.8,22,tcp,CON,0.2768299166416803,888,86,0
192.168.1.[  0   0   0 ... 214 214 214],17734,192.168.0.1,22,udp,FIN,0.14295961220744716,25,426,0
10.0.0.[  0   0   0 ... 214 214 214],39249,192.168.0.1,53,udp,REQ,0.3415591628824344,22,511,1
10.0.0.[  0   0   0 ... 214 214 214],12248,1.1.1.1,443,icmp,INT,0.1666517918944452,683,167,1
10.0.0.[  0   0   0 ... 214 214 214],45900,8.8.8.8,443,tcp,CON,0.6750782370644859,2227,30,0
10.0.0.[  0   0   0 ... 214 214 214],42683,1.1.1.1,53,icmp,REQ,0.1142585074034478,663,236,0
10.0.0.[  0   0   0 ... 214 214 214],61642,1.1.1.1,53,icmp,REQ,0.27860710849293163,1762,42,0
192.168.1.[  0   0   0 ... 214 214 214],56420,192.168.0.1,22,udp,FIN,0.4449858575443155,600,163,1
10.0.0.[  0   0   0 ... 214 214 214],30663,8.8.8.8,80,udp,INT,0.563276868118085,1346,718,1
10.0.0.[  0   0   0 ... 214 214 214],49498,192.168.0.1,53,tcp,REQ,0.8397750816911913,1443,120,0
192.168.1.[  0   0   0 ... 214 214 214],11283,8.8.8.8,80,udp,INT,0.028257132435728582,1520,844,0
10.0.0.[  0   0   0 ... 214 214 214],59767,192.168.0.1,53,icmp,FIN,0.6526201045333784,245,1873,0
192.168.1.[  0   0   0 ... 214 214 214],42047,192.168.0.1,53,icmp,FIN,0.6182503459137205,1733,237,1
10.0.0.[  0   0   0 ... 214 214 214],57470,1.1.1.1,53,tcp,INT,0.4681455329828422,636,103,1
192.168.1.[  0   0   0 ... 214 214 214],42081,8.8.8.8,443,icmp,CON,0.11811776817797513,56,581,1
10.0.0.[  0   0   0 ... 214 214 214],40259,1.1.1.1,22,udp,FIN,0.9777315159217111,1088,480,0
10.0.0.[  0   0   0 ... 214 214 214],42190,1.1.1.1,80,tcp,FIN,0.09657846228398405,5037,1666,0
192.168.1.[  0   0   0 ... 214 214 214],21964,1.1.1.1,443,icmp,CON,0.6739278589011894,1902,4220,0
192.168.1.[  0   0   0 ... 214 214 214],13232,192.168.0.1,53,icmp,CON,0.44887512211351466,1358,2188,0
192.168.1.[  0   0   0 ... 214 214 214],8789,1.1.1.1,53,tcp,CON,0.1455267942675423,1294,3663,0
192.168.1.[  0   0   0 ... 214 214 214],29977,8.8.8.8,80,icmp,FIN,1.4847104005559821,2938,217,0
192.168.1.[  0   0   0 ... 214 214 214],5873,192.168.0.1,53,udp,REQ,0.5750780876926123,271,1645,0
192.168.1.[  0   0   0 ... 214 214 214],18867,1.1.1.1,80,tcp,FIN,0.49037397601032595,1966,2645,1
192.168.1.[  0   0   0 ... 214 214 214],2620,192.168.0.1,443,icmp,INT,0.6329557342709365,456,457,0
192.168.1.[  0   0   0 ... 214 214 214],29438,1.1.1.1,22,icmp,CON,0.209536251527722,78,1159,0
10.0.0.[  0   0   0 ... 214 214 214],47099,192.168.0.1,80,udp,REQ,0.3748926411442179,431,789,0
10.0.0.[  0   0   0 ... 214 214 214],33288,192.168.0.1,443,tcp,CON,0.031645859951015425,363,312,0
192.168.1.[  0   0   0 ... 214 214 214],12292,1.1.1.1,22,tcp,FIN,0.5204838829795513,941,351,0
10.0.0.[  0   0   0 ... 214 214 214],32925,8.8.8.8,443,icmp,REQ,0.09534812687367443,1471,1574,0
10.0.0.[  0   0   0 ... 214 214 214],18691,8.8.8.8,80,tcp,CON,0.9110644297119785,237,2420,0
10.0.0.[  0   0   0 ... 214 214 214],6814,8.8.8.8,22,icmp,FIN,0.036839438560384095,2020,2,0
10.0.0.[  0   0   0 ... 214 214 214],50957,8.8.8.8,22,tcp,REQ,0.031443955841414344,889,14,0
192.168.1.[  0   0   0 ... 214 214 214],25368,1.1.1.1,53,tcp,FIN,0.17318774586710475,1323,1298,0
10.0.0.[  0   0   0 ... 214 214 214],5744,8.8.8.8,53,icmp,FIN,0.4184172304365179,395,1035,0
192.168.1.[  0   0   0 ... 214 214 214],51483,1.1.1.1,443,tcp,FIN,0.5725099927843558,1579,3290,0
10.0.0.[  0   0   0 ... 214 214 214],56718,192.168.0.1,443,icmp,FIN,0.10146557641319569,394,180,0
10.0.0.[  0   0   0 ... 214 214 214],20079,192.168.0.1,22,icmp,REQ,0.2946795698755118,1185,660,0
10.0.0.[  0   0   0 ... 214 214 214],19906,192.168.0.1,443,icmp,CON,0.5342980876384464,1204,1517,0
192.168.1.[  0   0   0 ... 214 214 214],62942,8.8.8.8,22,udp,INT,0.3039214462590377,1471,583,1
10.0.0.[  0   0   0 ... 214 214 214],63820,1.1.1.1,22,tcp,INT,1.6435727547512273,2202,863,0
192.168.1.[  0   0   0 ... 214 214 214],54024,192.168.0.1,80,udp,INT,0.7461374718852845,1706,1003,0
10.0.0.[  0   0   0 ... 214 214 214],3649,8.8.8.8,53,tcp,CON,0.5305188571772345,252,840,0
192.168.1.[  0   0   0 ... 214 214 214],30230,8.8.8.8,80,udp,CON,0.5542674116276578,1503,596,0
10.0.0.[  0   0   0 ... 214 214 214],6447,1.1.1.1,53,tcp,FIN,0.2752505372709089,23,356,0
192.168.1.[  0   0   0 ... 214 214 214],33952,192.168.0.1,53,icmp,INT,0.36942817875157535,904,3374,0
192.168.1.[  0   0   0 ... 214 214 214],17819,192.168.0.1,53,udp,REQ,0.1569015781314358,43,1563,0
10.0.0.[  0   0   0 ... 214 214 214],26942,1.1.1.1,22,udp,CON,0.6013247007925624,643,1105,0
192.168.1.[  0   0   0 ... 214 214 214],38279,8.8.8.8,80,udp,FIN,0.1616250487042666,1951,197,1
10.0.0.[  0   0   0 ... 214 214 214],42403,8.8.8.8,22,udp,FIN,0.07564382374547522,250,620,1
10.0.0.[  0   0   0 ... 214 214 214],61562,1.1.1.1,80,udp,INT,0.6226541613560419,692,115,0
10.0.0.[  0   0   0 ... 214 214 214],34177,8.8.8.8,22,icmp,FIN,0.008301454713732524,584,177,0
10.0.0.[  0   0   0 ... 214 214 214],6935,1.1.1.1,443,udp,FIN,0.09028898673147083,2326,357,1
10.0.0.[  0   0   0 ... 214 214 214],27029,192.168.0.1,53,tcp,INT,0.06328256224138923,379,593,0
10.0.0.[  0   0   0 ... 214 214 214],60750,8.8.8.8,80,icmp,INT,0.5385254046210748,346,910,0
10.0.0.[  0   0   0 ... 214 214 214],31767,1.1.1.1,443,icmp,INT,0.2817261042056647,2936,1277,1
10.0.0.[  0   0   0 ... 214 214 214],30973,8.8.8.8,22,tcp,CON,0.1319255774041803,621,382,0
10.0.0.[  0   0   0 ... 214 214 214],25028,1.1.1.1,22,tcp,FIN,0.1024214712995303,3819,519,0
10.0.0.[  0   0   0 ... 214 214 214],45914,8.8.8.8,22,icmp,CON,0.003992423485169436,1295,25,1
10.0.0.[  0   0   0 ... 214 214 214],50144,1.1.1.1,80,tcp,REQ,0.8159659876055112,1266,163,0
192.168.1.[  0   0   0 ... 214 214 214],38836,192.168.0.1,443,icmp,REQ,0.2483396351324161,1007,341,1
192.168.1.[  0   0   0 ... 214 214 214],18516,1.1.1.1,443,tcp,CON,0.02995464715767329,845,786,0
10.0.0.[  0   0   0 ... 214 214 214],20176,1.1.1.1,443,icmp,REQ,0.8310071956544346,106,541,0
10.0.0.[  0   0   0 ... 214 214 214],42169,1.1.1.1,22,udp,REQ,0.09348007849389181,24,312,1
10.0.0.[  0   0   0 ... 214 214 214],17442,1.1.1.1,443,icmp,FIN,0.3978851301577658,115,1025,0
10.0.0.[  0   0   0 ... 214 214 214],34038,8.8.8.8,53,tcp,FIN,0.2862420093406094,1811,756,0
10.0.0.[  0   0   0 ... 214 214 214],15798,192.168.0.1,80,icmp,REQ,0.8169403849933842,524,138,0
10.0.0.[  0   0   0 ... 214 214 214],58265,192.168.0.1,22,tcp,INT,0.06964313132858503,234,146,1
10.0.0.[  0   0   0 ... 214 214 214],7469,8.8.8.8,443,udp,FIN,0.31954389991182014,466,453,0
10.0.0.[  0   0   0 ... 214 214 214],46232,192.168.0.1,22,tcp,INT,0.6945586982710664,469,557,0
192.168.1.[  0   0   0 ... 214 214 214],48340,1.1.1.1,80,icmp,FIN,0.39503695234763847,261,362,1
10.0.0.[  0   0   0 ... 214 214 214],26359,192.168.0.1,53,tcp,CON,0.5860846350503963,520,569,0
192.168.1.[  0   0   0 ... 214 214 214],47754,8.8.8.8,80,udp,FIN,0.6459694354327987,181,133,1
10.0.0.[  0   0   0 ... 214 214 214],44823,1.1.1.1,80,tcp,INT,0.35409374382900133,930,196,1
10.0.0.[  0   0   0 ... 214 214 214],30285,8.8.8.8,53,udp,CON,0.06826164127337296,571,158,1
192.168.1.[  0   0   0 ... 214 214 214],59799,192.168.0.1,22,udp,REQ,1.265736067141039,574,1155,1
10.0.0.[  0   0   0 ... 214 214 214],27976,8.8.8.8,443,tcp,CON,0.2896427878498048,233,185,1
192.168.1.[  0   0   0 ... 214 214 214],52097,8.8.8.8,22,udp,CON,0.28722443169048967,1378,35,0
10.0.0.[  0   0   0 ... 214 214 214],37893,8.8.8.8,80,tcp,REQ,0.004253370495596065,200,615,0
10.0.0.[  0   0   0 ... 214 214 214],35608,192.168.0.1,22,tcp,FIN,0.34655456349747876,79,873,1
192.168.1.[  0   0   0 ... 214 214 214],52048,192.168.0.1,443,icmp,REQ,0.8582153937308854,8,2720,1
10.0.0.[  0   0   0 ... 214 214 214],52738,8.8.8.8,53,udp,INT,0.6544862719643142,16,41,1
192.168.1.[  0   0   0 ... 214 214 214],58500,192.168.0.1,22,icmp,FIN,0.23749183372696192,503,2282,0
10.0.0.[  0   0   0 ... 214 214 214],40351,192.168.0.1,22,udp,CON,0.600393469445011,1034,1535,0
192.168.1.[  0   0   0 ... 214 214 214],6447,192.168.0.1,80,udp,REQ,0.2948099531679504,142,654,0
192.168.1.[  0   0   0 ... 214 214 214],12854,1.1.1.1,53,icmp,CON,1.283925740714247,586,466,1
10.0.0.[  0   0   0 ... 214 214 214],18140,192.168.0.1,22,tcp,FIN,0.09467283962208137,2924,941,0
10.0.0.[  0   0   0 ... 214 214 214],9635,192.168.0.1,80,icmp,CON,0.27487066731746235,1162,214,0
192.168.1.[  0   0   0 ... 214 214 214],13091,192.168.0.1,53,tcp,FIN,0.7396571468976363,599,731,0
10.0.0.[  0   0   0 ... 214 214 214],18300,192.168.0.1,443,udp,REQ,0.7179588653316092,637,59,0
10.0.0.[  0   0   0 ... 214 214 214],27766,1.1.1.1,80,icmp,CON,0.3458457701410186,2055,201,0
10.0.0.[  0   0   0 ... 214 214 214],29308,8.8.8.8,443,tcp,FIN,0.22834633138677732,234,204,0
192.168.1.[  0   0   0 ... 214 214 214],63384,8.8.8.8,53,udp,CON,0.2922908775843946,1003,377,0
192.168.1.[  0   0   0 ... 214 214 214],22455,1.1.1.1,53,udp,INT,0.6690419706753479,543,154,0
192.168.1.[  0   0   0 ... 214 214 214],53659,1.1.1.1,22,udp,INT,0.23361331386771725,993,1258,0
192.168.1.[  0   0   0 ... 214 214 214],1915,1.1.1.1,53,udp,FIN,0.8087124543959968,819,543,1
192.168.1.[  0   0   0 ... 214 214 214],29602,192.168.0.1,443,icmp,REQ,0.10718197737880027,1701,1454,0
192.168.1.[  0   0   0 ... 214 214 214],58867,8.8.8.8,53,icmp,FIN,0.6277377848112047,258,333,0
192.168.1.[  0   0   0 ... 214 214 214],30860,1.1.1.1,22,tcp,FIN,2.3669972933862327,192,2111,0
192.168.1.[  0   0   0 ... 214 214 214],51534,1.1.1.1,53,icmp,INT,0.8735018378294225,1857,1023,1
192.168.1.[  0   0   0 ... 214 214 214],28016,8.8.8.8,443,udp,CON,0.13293891642780695,1075,650,0
10.0.0.[  0   0   0 ... 214 214 214],20795,8.8.8.8,22,udp,REQ,0.42130677107998465,2807,47,0
192.168.1.[  0   0   0 ... 214 214 214],31002,192.168.0.1,80,icmp,FIN,0.39358891034987487,1481,1722,0
10.0.0.[  0   0   0 ... 214 214 214],19530,1.1.1.1,80,tcp,REQ,0.36664978764753997,677,16,0
10.0.0.[  0   0   0 ... 214 214 214],21253,8.8.8.8,80,udp,FIN,0.051081482973321844,49,758,1
10.0.0.[  0   0   0 ... 214 214 214],50231,192.168.0.1,53,udp,FIN,0.07918397530962569,116,2291,0
192.168.1.[  0   0   0 ... 214 214 214],54426,192.168.0.1,53,udp,REQ,0.1316373980438631,140,252,0
192.168.1.[  0   0   0 ... 214 214 214],18089,1.1.1.1,80,udp,FIN,0.5212612390641878,878,97,1
192.168.1.[  0   0   0 ... 214 214 214],9181,192.168.0.1,443,udp,REQ,0.9643022117918061,398,1400,0
192.168.1.[  0   0   0 ... 214 214 214],4832,8.8.8.8,80,icmp,REQ,0.13912169871976585,34,1495,0
10.0.0.[  0   0   0 ... 214 214 214],15397,192.168.0.1,80,tcp,INT,0.33345425171158777,4,412,0
192.168.1.[  0   0   0 ... 214 214 214],32182,8.8.8.8,53,icmp,INT,0.6061580509867095,152,280,1
192.168.1.[  0   0   0 ... 214 214 214],18450,8.8.8.8,22,udp,INT,0.8275419947753478,2062,38,0
192.168.1.[  0   0   0 ... 214 214 214],2036,1.1.1.1,443,icmp,CON,0.5343070184774542,973,1444,1
192.168.1.[  0   0   0 ... 214 214 214],40812,8.8.8.8,80,tcp,INT,0.042767195437175526,2109,251,0
192.168.1.[  0   0   0 ... 214 214 214],30933,192.168.0.1,443,tcp,INT,0.2809498090514915,372,114,1
10.0.0.[  0   0   0 ... 214 214 214],13158,8.8.8.8,22,udp,CON,0.09253865394125625,854,1431,1
192.168.1.[  0   0   0 ... 214 214 214],17548,8.8.8.8,53,icmp,INT,1.9582558106901273,310,344,0
10.0.0.[  0   0   0 ... 214 214 214],6723,8.8.8.8,80,tcp,INT,0.21127550621257926,439,179,0
192.168.1.[  0   0   0 ... 214 214 214],60165,8.8.8.8,53,tcp,CON,0.7095768300860295,292,775,0
10.0.0.[  0   0   0 ... 214 214 214],30620,192.168.0.1,80,udp,CON,0.6306465160237104,65,2552,0
192.168.1.[  0   0   0 ... 214 214 214],45661,192.168.0.1,22,tcp,INT,0.009849213890052897,1653,766,0
192.168.1.[  0   0   0 ... 214 214 214],21208,8.8.8.8,22,tcp,REQ,0.6183189079831707,4808,122,1
10.0.0.[  0   0   0 ... 214 214 214],63932,8.8.8.8,80,tcp,REQ,0.7499872443141309,1803,371,0
10.0.0.[  0   0   0 ... 214 214 214],7182,192.168.0.1,53,icmp,INT,0.23342655270430765,1068,518,1
10.0.0.[  0   0   0 ... 214 214 214],5259,192.168.0.1,53,udp,CON,0.18629989648144799,199,1091,0
192.168.1.[  0   0   0 ... 214 214 214],3604,8.8.8.8,22,tcp,CON,0.46517296555981014,109,4135,1
10.0.0.[  0   0   0 ... 214 214 214],25425,8.8.8.8,443,udp,CON,0.37014927735899456,1178,454,1
192.168.1.[  0   0   0 ... 214 214 214],63256,8.8.8.8,443,udp,CON,0.46390309010044306,3474,3721,1
192.168.1.[  0   0   0 ... 214 214 214],53029,8.8.8.8,53,icmp,REQ,0.29453811574501354,240,1000,0
10.0.0.[  0   0   0 ... 214 214 214],11514,192.168.0.1,80,udp,CON,1.2042459847165563,998,527,1
10.0.0.[  0   0   0 ... 214 214 214],59716,1.1.1.1,22,icmp,FIN,0.724135583724092,650,366,1
192.168.1.[  0   0   0 ... 214 214 214],25291,1.1.1.1,53,udp,FIN,0.47158881553932724,100,996,0
192.168.1.[  0   0   0 ... 214 214 214],38960,192.168.0.1,53,icmp,FIN,0.08164081031753674,548,1152,0
10.0.0.[  0   0   0 ... 214 214 214],17436,1.1.1.1,443,udp,CON,0.9605718582518988,1030,274,1
10.0.0.[  0   0   0 ... 214 214 214],12221,192.168.0.1,22,udp,INT,0.10711337450567582,3137,566,0
10.0.0.[  0   0   0 ... 214 214 214],16041,1.1.1.1,80,tcp,FIN,0.023892052562315014,456,3680,0
192.168.1.[  0   0   0 ... 214 214 214],49429,192.168.0.1,53,icmp,INT,0.7179232238717246,1307,65,0
192.168.1.[  0   0   0 ... 214 214 214],40186,1.1.1.1,80,tcp,CON,0.07326886340605909,54,828,1
192.168.1.[  0   0   0 ... 214 214 214],2535,8.8.8.8,22,tcp,REQ,0.2774222887993833,98,306,0
192.168.1.[  0   0   0 ... 214 214 214],16990,1.1.1.1,443,icmp,REQ,0.030245578099092046,303,524,0
192.168.1.[  0   0   0 ... 214 214 214],57883,192.168.0.1,22,tcp,FIN,0.8645860393556801,859,11,0
192.168.1.[  0   0   0 ... 214 214 214],47342,192.168.0.1,443,icmp,CON,0.12715783563591831,44,437,0
10.0.0.[  0   0   0 ... 214 214 214],35990,1.1.1.1,443,icmp,FIN,0.38343893604960105,202,435,0
192.168.1.[  0   0   0 ... 214 214 214],22068,1.1.1.1,22,udp,REQ,0.5939797663756821,20,959,0
192.168.1.[  0   0   0 ... 214 214 214],61428,8.8.8.8,80,icmp,FIN,0.6966941290056948,1304,216,0
192.168.1.[  0   0   0 ... 214 214 214],2029,192.168.0.1,80,udp,FIN,0.4517461980278289,763,832,0
10.0.0.[  0   0   0 ... 214 214 214],65393,192.168.0.1,22,udp,FIN,0.32921774953355754,718,1644,0
192.168.1.[  0   0   0 ... 214 214 214],49534,1.1.1.1,22,udp,FIN,0.31775942054373757,229,412,0
192.168.1.[  0   0   0 ... 214 214 214],44414,8.8.8.8,22,icmp,REQ,0.1423001632985011,496,4,0
